OBJECTID,PIDN,CITY_TEXT,NUMBER,STREET,GIS_Acreag,LANDVALUE,BLDGVALUE,LANDUSE_TE,YR_BUILT,score2
2,"001-00-00-001.00",VILLA HILLS,"1096",RIVER,"1.740",50000,173800,SINGLE FAMILY,"1957",2.1875
3,"001-00-00-001.01",VILLA HILLS,"1096",RIVER,".580",15000,0,VACANT LAND,"0000",2.1875
4,"001-00-00-001.05",VILLA HILLS,"1089",RIVER,".350",3000,0,NONBUILDABLE LOT/LAND,"0000",2.1875
5,"001-00-00-001.06",VILLA HILLS,"1091",RIVER,".090",0,0,NOT TAXED IN KENTON (ON BORDER),"0000",2.1875
6,"001-00-00-002.00",VILLA HILLS,"1075",RIVER,"17.120",330000,20000,PUBLIC UTILITIES,"0000",2.1875
7,"001-00-00-003.00",VILLA HILLS,"1070",RIVER,"1.490",15000,9000,MOB HOME-LAND,"1960",2.1875
8,"001-00-00-004.00",VILLA HILLS,"1028",RIVER,"3.210",45000,0,VACANT LAND,"0000",2.1875
9,"001-00-00-004.01",VILLA HILLS,"1025",RIVER,".880",4000,0,VACANT LAND,"0000",2.1875
10,"001-00-00-004.02",VILLA HILLS,"1050",RIVER,".820",4000,0,VACANT LAND,"0000",2.1875
11,"001-00-00-004.03",VILLA HILLS,"1025",RIVER,"2.420",15000,0,VACANT LAND,"0000",2.1875
12,"001-00-00-004.04",VILLA HILLS,"1044",RIVER,".770",15000,0,VACANT LAND,"0000",2.1875
13,"001-00-00-004.05",VILLA HILLS,"988",RIVER,".680",10000,0,VACANT LAND,"0000",2.1875
14,"001-00-00-005.00",VILLA HILLS,"966",RIVER,"1.120",10000,0,VACANT LAND,"0000",2.1875
15,"001-00-00-006.00",VILLA HILLS,"3142",AMSTERDAM,".630",15000,106000,SINGLE FAMILY,"1969",2.1875
16,"001-00-00-006.01",VILLA HILLS,"3148",AMSTERDAM,".490",9000,1000,MISCELLANEOUS IMPROVEMENT,"0000",2.1875
17,"001-00-00-006.02",VILLA HILLS,"3146",AMSTERDAM,".190",5000,0,VACANT LAND,"0000",2.1875
18,"001-00-00-007.00",VILLA HILLS,"3134",AMSTERDAM,".580",15000,147000,REHAB/REMODEL IN PROGRESS,"2021",2.1875
19,"001-00-00-008.00",VILLA HILLS,"3130",AMSTERDAM,".360",15000,61500,SINGLE FAMILY,"1950",2.1875
